City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather description
426,Itarema,BR,-2.9248,-39.9167,86.4,57,91,10.56,overcast clouds
427,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,99.41,30,0,4.07,clear sky
428,Ugoofaaru,MV,5.6667,73.0,80.24,68,0,19.08,clear sky
429,Kruisfontein,ZA,-34.0033,24.7314,76.89,65,50,16.91,scattered clouds
430,Marovoay,MG,-16.1,46.6333,72.59,95,100,9.4,moderate rain
431,Ambon,ID,-3.6954,128.1814,78.24,15,40,3.44,scattered clouds
432,Aykhal,RU,66.0,111.5,-37.14,98,65,7.72,broken clouds
433,Kattivakkam,IN,13.2167,80.3167,77.09,64,51,10.4,broken clouds
434,Tomatlan,MX,19.9333,-105.25,66.72,57,96,2.82,overcast clouds
435,Sohag,EG,26.557,31.6948,68.85,18,0,4.0,clear sky
436,Belaya Gora,RU,68.5333,146.4167,-41.71,100,97,2.98,overcast clouds
437,Hikari,JP,33.955,131.95,39.36,77,36,7.4,scattered clouds
438,Jutai,BR,-5.1833,-68.9,77.25,91,100,3.09,light rain
439,Yinchuan,CN,38.4681,106.2731,17.82,43,0,5.44,clear sky
440,Warragul,AU,-38.1667,145.9333,50.95,95,0,2.15,clear sky
441,Zakharovo,RU,54.366,39.2792,32.54,92,100,17.2,overcast clouds
442,Havoysund,NO,70.9963,24.6622,34.03,77,7,18.39,clear sky
443,Ternate,ID,0.8,127.4,81.03,80,100,6.42,overcast clouds
444,Bouca,CF,6.5105,18.2733,97.61,11,8,5.75,clear sky
445,Aitape,PG,-3.1374,142.3475,78.71,86,100,8.41,light rain
446,Taraz,KZ,42.9,71.3667,-5.39,84,6,2.24,mist
447,Mitsamiouli,KM,-11.3847,43.2844,81.68,74,100,8.05,overcast clouds
448,Barcelos,PT,41.5388,-8.6151,53.74,91,100,17.05,light rain
449,Fuente De Oro,CO,3.4594,-73.6128,84.96,44,98,10.13,overcast clouds
450,Peremyshlyany,UA,49.6652,24.5585,41.74,90,100,5.06,overcast clouds
451,Yulara,AU,-25.2406,130.9889,81.72,30,60,17.98,broken clouds
452,Beloha,MG,-25.1667,45.05,79.68,62,55,18.84,broken clouds
453,Rovato,IT,45.5658,10.0001,40.86,10,100,4.99,light rain
454,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,75,80,6.42,broken clouds
455,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,98,6.91,overcast clouds
456,Kilindoni,TZ,-7.9139,39.6668,82.2,74,100,10.83,overcast clouds
457,Lompoc,US,34.6391,-120.4579,47.59,94,24,1.01,few clouds
458,Haines Junction,CA,60.7522,-137.5108,7.11,99,74,2.08,broken clouds
459,Columbus,US,39.9612,-82.9988,54.05,97,100,9.22,overcast clouds
460,Puerto Colombia,CO,10.9878,-74.9547,81.77,68,37,7.99,scattered clouds
461,Fowa,NG,8.9167,6.4,101.79,10,10,0.96,clear sky
462,Russell,US,32.3502,-85.1999,67.28,88,100,5.75,light rain
463,La Primavera,CO,5.4906,-70.4092,87.76,43,59,13.78,broken clouds
464,Tautira,PF,-17.7333,-149.15,80.82,74,6,17.43,clear sky
465,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,7.38,88,100,16.13,overcast clouds
466,Riohacha,CO,11.5444,-72.9072,83.57,62,51,16.69,broken clouds
467,Del Rio,US,29.3627,-100.8968,52.12,35,6,1.99,clear sky
468,Half Moon Bay,US,37.4636,-122.4286,46.83,90,68,0.0,broken clouds
469,Kalmar,SE,56.6616,16.3616,37.33,84,75,12.66,broken clouds
470,Margherita,IN,27.2833,95.6833,57.56,65,64,3.36,broken clouds
471,Sussex,US,41.1834,-74.6663,39.15,86,100,0.0,moderate rain
472,Emerald,AU,-23.5333,148.1667,74.34,73,7,8.99,clear sky
473,Mount Gambier,AU,-37.8333,140.7667,56.16,65,88,8.41,overcast clouds
474,Mercedes,AR,-34.6515,-59.4307,90.95,30,14,9.48,few clouds
475,Kaitong,CN,44.8135,123.15,5.58,43,88,16.22,overcast clouds
476,Edgewater,US,28.9889,-80.9023,73.09,73,9,8.75,clear sky
477,Thung Song,TH,8.1645,99.6804,73.4,89,48,4.05,scattered clouds
478,Rio Brilhante,BR,-21.8019,-54.5464,91.35,45,48,3.65,scattered clouds
479,Tonantins,BR,-2.8731,-67.8022,78.15,84,100,2.13,overcast clouds
480,Cabo San Lucas,MX,22.8909,-109.9124,64.51,79,77,3.33,broken clouds
481,Puerto Leguizamo,CO,-0.1934,-74.7819,84.33,55,100,4.83,overcast clouds
482,Challapata,BO,-18.9,-66.7667,55.65,41,100,9.55,overcast clouds
483,Lodja,CD,-3.4833,23.4333,86.2,54,100,3.47,overcast clouds
484,Ilhabela,BR,-23.7781,-45.3581,79.61,80,44,7.18,scattered clouds
485,Nouadhibou,MR,20.931,-17.0347,66.96,69,0,12.39,clear sky
486,Mumbwa,ZM,-14.9783,27.0619,73.87,84,97,3.69,light rain
487,Humaita,BR,-7.5061,-63.0208,75.45,93,100,3.98,overcast clouds
488,Laguna,US,38.421,-121.4238,45.01,96,100,8.05,mist
489,Maningrida,AU,-12.0667,134.2667,75.0,93,96,8.08,overcast clouds
490,Santa Cruz,BO,-17.8,-63.1667,84.85,58,58,8.75,broken clouds
491,Matagami,CA,49.7502,-77.6328,8.71,92,100,6.91,light snow
492,Kupang,ID,-10.1667,123.5833,79.02,83,100,4.43,light rain
493,Manzhouli,CN,49.6,117.4333,-29.25,98,21,5.23,few clouds
494,Osmena,PH,10.5208,119.9258,79.83,85,77,25.84,broken clouds
