,City,Country,Max Temp,weather description,Lat,Lng,Hotel Name
481,Puerto Leguizamo,CO,84.33,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
484,Ilhabela,BR,79.61,scattered clouds,-23.7781,-45.3581,Vila Kebaya
486,Mumbwa,ZM,73.87,light rain,-14.9783,27.0619,La Hacienda
487,Humaita,BR,75.45,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
490,Santa Cruz,BO,84.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
492,Kupang,ID,79.02,light rain,-10.1667,123.5833,BIB & LANG GUEST HOUSE
506,Makakilo City,US,70.12,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
517,Fare,PF,80.6,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
528,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
529,Vao,NC,75.36,clear sky,-22.6667,167.4833,Nataiwatch
533,Cozumel,MX,83.07,light rain,20.5083,-86.9458,Hotel Isla Esmeralda
538,Tabou,CI,84.04,broken clouds,4.423,-7.3528,hôtel le rochet
545,Morondava,MG,84.81,light rain,-20.2833,44.2833,Hotel Sharon Menabe
547,Talara,PE,84.96,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
549,Belgaum,IN,73.31,clear sky,15.8667,74.5,Hotel Sanman
554,Sambava,MG,77.76,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
555,Alta Floresta,BR,82.8,scattered clouds,-9.8756,-56.0861,Villas Hotel
559,Barra Do Garcas,BR,87.55,scattered clouds,-15.89,-52.2567,Pousada Portal
565,Antofagasta,CL,72.68,scattered clouds,-23.65,-70.4,Hotel Colón
568,Mogadishu,SO,78.82,overcast clouds,2.0371,45.3438,SYL Hotel
573,Rio Gallegos,AR,73.53,clear sky,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
577,Pangai,TO,83.01,overcast clouds,-19.8,-174.35,Billy's Place
580,Ariquemes,BR,80.04,overcast clouds,-9.9133,-63.0408,Aquarius
583,Lorengau,PG,80.56,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
585,Malindi,KE,80.65,broken clouds,-3.2175,40.1191,Young Safari
587,Nabire,ID,77.29,overcast clouds,-3.3667,135.4833,Hotel Anggrek
588,Olinda,BR,82.13,light rain,-8.0089,-34.8553,Fidji Motel
591,Praia,CV,79.34,few clouds,14.9215,-23.5087,Casa Sodadi
592,Morant Bay,JM,83.71,scattered clouds,17.8815,-76.4093,Morant Villas
594,Sabha,LY,72.55,clear sky,27.0377,14.4283,فندق الكاظم-سبها
595,Muisne,EC,78.3,overcast clouds,0.6,-80.0333,Hostal Té de Menta
598,Oranjestad,AW,78.91,clear sky,12.524,-70.027,Hotel California
605,Kovvur,IN,77.25,mist,17.0167,81.7333,La Hospin
607,Hun,LY,75.07,clear sky,29.1268,15.9477,فندق الهروج
612,Chimbote,PE,73.31,overcast clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
613,Ban Chang,TH,83.48,scattered clouds,12.7254,101.0553,suchanan
627,Pangkalanbuun,ID,74.28,moderate rain,-2.6833,111.6167,Hotel Tiara
651,Axim,GH,84.02,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
652,La Asuncion,VE,79.38,clear sky,11.0333,-63.8628,Hotel La Ciudad
653,Sur,OM,70.84,clear sky,22.5667,59.5289,Sur Hotel
655,Sibolga,ID,75.51,overcast clouds,1.7427,98.7792,Hotel Prima Indah
657,Isangel,VU,75.76,overcast clouds,-19.55,169.2667,Tanna Lodge
672,Robore,BO,86.09,few clouds,-18.3333,-59.75,Lajas
673,Mecca,SA,79.5,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
675,Playas,EC,73.42,light rain,-2.6333,-80.3833,Hotel las Redes
677,Caravelas,BR,83.98,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
696,Pitimbu,BR,84.79,light rain,-7.4706,-34.8086,Pousada Brisa Mar
